Date,Buyer,Seller,Price,Volume,TradeType
14.02.20 15:59:45,,,174.70,38,AT
14.02.20 15:59:45,,,174.70,276,AT
14.02.20 15:59:45,,,174.70,119,AT
14.02.20 15:59:35,,,174.75,209,AT
14.02.20 15:59:35,,,174.75,294,AT
14.02.20 15:59:35,,,174.75,451,AT
14.02.20 15:59:19,,,174.75,"2,010",AT
14.02.20 15:59:19,,,174.75,14,AT
14.02.20 15:59:19,,,174.75,157,AT
14.02.20 15:59:19,,,174.75,283,AT
14.02.20 15:59:19,,,174.75,165,AT
14.02.20 15:59:19,,,174.75,130,AT
14.02.20 15:58:48,,,174.70,2,AT
14.02.20 15:58:39,,,174.70,300,AT
14.02.20 15:58:39,,,174.70,155,AT
14.02.20 15:58:39,,,174.70,340,AT
14.02.20 15:57:39,,,174.65,207,AT
14.02.20 15:57:39,,,174.65,54,AT
14.02.20 15:57:39,,,174.65,124,AT
14.02.20 15:57:39,,,174.65,288,AT
14.02.20 15:57:39,,,174.65,300,AT
14.02.20 15:57:39,,,174.65,137,AT
14.02.20 15:57:39,,,174.65,151,AT
14.02.20 15:57:35,,,174.60,338,AT
14.02.20 15:57:35,,,174.60,239,AT
14.02.20 15:56:48,,,174.60,299,AT
14.02.20 15:56:48,,,174.55,70,AT
14.02.20 15:56:48,,,174.55,131,AT
14.02.20 15:56:23,,,174.60,436,AT
14.02.20 15:56:23,,,174.60,"1,295",AT
14.02.20 15:56:04,,,174.60,252,AT
14.02.20 15:56:04,,,174.60,522,AT
14.02.20 15:56:04,,,174.60,565,AT
14.02.20 15:56:04,,,174.60,248,AT
14.02.20 15:56:04,,,174.65,500,AT
14.02.20 15:55:48,,,174.70,138,AT
14.02.20 15:55:48,,,174.70,444,AT
14.02.20 15:55:48,,,174.70,139,AT
14.02.20 15:55:48,,,174.70,68,AT
14.02.20 15:55:48,,,174.70,68,AT
14.02.20 15:55:48,,,174.70,161,AT
14.02.20 15:55:48,,,174.70,106,AT
14.02.20 15:55:48,,,174.70,157,AT
14.02.20 15:55:45,,,174.65,918,AT
14.02.20 15:55:45,,,174.65,95,AT
14.02.20 15:55:20,,,174.65,500,AT
14.02.20 15:54:48,,,174.65,155,AT
14.02.20 15:54:48,,,174.65,12,AT
14.02.20 15:54:48,,,174.65,191,AT
14.02.20 15:54:48,,,174.65,12,AT
14.02.20 15:54:48,,,174.65,148,AT
14.02.20 15:54:48,,,174.65,4,AT
14.02.20 15:54:48,,,174.65,288,AT
14.02.20 15:54:48,,,174.65,138,AT
14.02.20 15:54:48,,,174.65,207,AT
14.02.20 15:53:39,,,174.55,369,AT
14.02.20 15:53:39,,,174.55,280,AT
14.02.20 15:53:39,,,174.65,115,AT
14.02.20 15:53:39,,,174.65,116,AT
14.02.20 15:53:04,,,174.65,45,AT
14.02.20 15:53:04,,,174.65,116,AT
14.02.20 15:53:04,,,174.65,232,AT
14.02.20 15:53:04,,,174.65,537,AT
14.02.20 15:53:04,,,174.65,513,AT
14.02.20 15:52:33,,,174.75,202,AT
14.02.20 15:52:32,,,174.70,55,AT
14.02.20 15:52:28,,,174.70,89,AT
14.02.20 15:52:28,,,174.70,271,AT
14.02.20 15:52:28,,,174.70,249,AT
14.02.20 15:52:28,,,174.70,480,AT
14.02.20 15:52:28,,,174.70,196,AT
14.02.20 15:52:28,,,174.70,198,AT
14.02.20 15:52:28,,,174.70,288,AT
14.02.20 15:52:28,,,174.70,151,AT
14.02.20 15:51:59,,,174.65,500,AT
14.02.20 15:51:59,,,174.60,353,AT
14.02.20 15:51:59,,,174.60,210,AT
14.02.20 15:51:59,,,174.60,522,AT
14.02.20 15:51:59,,,174.60,246,AT
14.02.20 15:51:44,,,174.70,129,AT
14.02.20 15:51:44,,,174.70,339,AT
14.02.20 15:51:44,,,174.70,262,AT
14.02.20 15:51:44,,,174.70,235,AT
14.02.20 15:51:44,,,174.70,339,AT
14.02.20 15:51:44,,,174.70,2,AT
14.02.20 15:50:24,,,174.70,274,AT
14.02.20 15:50:24,,,174.70,300,AT
14.02.20 15:49:51,,,174.70,451,AT
14.02.20 15:49:46,,,174.70,436,AT
14.02.20 15:49:46,,,174.70,350,AT
14.02.20 15:49:46,,,174.70,500,AT
14.02.20 15:49:46,,,174.70,30,AT
14.02.20 15:49:46,,,174.70,470,AT
14.02.20 15:49:46,,,174.70,530,AT
14.02.20 15:48:52,,,174.80,194,AT
14.02.20 15:48:50,,,174.80,380,AT
14.02.20 15:48:50,,,174.80,169,AT
14.02.20 15:48:50,,,174.80,380,AT
14.02.20 15:48:50,,,174.80,500,AT
14.02.20 15:48:48,,,174.75,380,AT
14.02.20 15:48:48,,,174.75,380,AT
14.02.20 15:48:48,,,174.75,380,AT
14.02.20 15:48:48,,,174.75,433,AT
14.02.20 15:48:48,,,174.75,"2,955",AT
14.02.20 15:48:48,,,174.75,956,AT
14.02.20 15:48:48,,,174.75,160,AT
14.02.20 15:48:48,,,174.75,233,AT
14.02.20 15:48:48,,,174.75,350,AT
14.02.20 15:48:48,,,174.75,604,AT
14.02.20 15:48:48,,,174.75,197,AT
